tkr,td,op,hp,lp,cp,vol,oi,eod
ITC,2024-07-29T00:00:00,505.5,506.2,494.05,496.05,12496895,0,True
ONGC,2024-07-29T00:00:00,333.8,339.55,330.75,332.9,26721790,0,True
NTPC,2024-07-29T00:00:00,404.0,408.3,392.65,393.9,27751449,0,True
COALINDIA,2024-07-29T00:00:00,514.5,515.7,507.5,512.15,7259754,0,True
POWERGRID,2024-07-29T00:00:00,339.8,345.9,337.75,342.35,31849674,0,True
WIPRO,2024-07-29T00:00:00,528.0,530.55,522.85,524.4,6005777,0,True
IOC,2024-07-29T00:00:00,178.0,181.7,178.0,180.39,42913186,0,True
JIOFIN,2024-07-29T00:00:00,334.5,335.2,329.5,330.2,12628377,0,True
TATASTEEL,2024-07-29T00:00:00,164.7,164.7,162.33,162.87,31754833,0,True
IRFC,2024-07-29T00:00:00,185.92,197.5,184.64,195.27,109648645,0,True
ZOMATO,2024-07-29T00:00:00,226.62,229.46,224.1,226.89,40644424,0,True
BEL,2024-07-29T00:00:00,312.8,325.6,310.85,321.35,51391698,0,True
PNB,2024-07-29T00:00:00,124.86,128.8,123.54,127.0,144104708,0,True
BANKBARODA,2024-07-29T00:00:00,254.0,260.75,251.3,255.9,32691314,0,True
BPCL,2024-07-29T00:00:00,333.4,338.95,331.05,337.9,20234464,0,True
PFC,2024-07-29T00:00:00,539.0,554.85,537.0,552.85,11024457,0,True
TATAPOWER,2024-07-29T00:00:00,446.95,450.0,441.0,442.25,13720073,0,True
GAIL,2024-07-29T00:00:00,231.5,234.17,230.0,231.87,12472241,0,True
UNIONBANK,2024-07-29T00:00:00,134.25,137.12,134.25,136.86,15178338,0,True
CANBK,2024-07-29T00:00:00,115.2,117.82,115.01,115.91,51072326,0,True
VEDL,2024-07-29T00:00:00,447.0,455.5,438.0,448.95,45433689,0,True
NHPC,2024-07-29T00:00:00,105.25,105.78,104.26,105.36,36122083,0,True
IDBI,2024-07-29T00:00:00,105.0,107.9,103.4,104.07,53710826,0,True
BHEL,2024-07-29T00:00:00,327.0,327.0,319.1,323.05,25820136,0,True
MOTHERSON,2024-07-29T00:00:00,198.0,199.13,193.8,195.72,19608987,0,True
INDUSTOWER,2024-07-29T00:00:00,448.9,449.0,441.1,443.4,10917593,0,True
INDIANB,2024-07-29T00:00:00,589.0,599.9,583.5,587.25,2811831,0,True
HINDPETRO,2024-07-29T00:00:00,386.0,389.3,378.8,381.05,14114983,0,True
BERGEPAINT,2024-07-29T00:00:00,545.5,546.6,537.75,538.8,881090,0,True
OIL,2024-07-29T00:00:00,565.7,592.9,556.7,580.4,9295179,0,True
BANKINDIA,2024-07-29T00:00:00,120.85,126.16,120.4,125.14,24362585,0,True
NMDC,2024-07-29T00:00:00,240.1,245.98,239.25,244.19,10284790,0,True
GICRE,2024-07-29T00:00:00,412.9,418.8,401.9,403.5,3335028,0,True
SAIL,2024-07-29T00:00:00,149.14,150.0,146.8,147.74,15136406,0,True
JSWINFRA,2024-07-29T00:00:00,347.0,349.3,341.0,342.15,1794639,0,True
ASHOKLEY,2024-07-29T00:00:00,249.0,258.85,249.0,256.35,28698736,0,True
SJVN,2024-07-29T00:00:00,149.4,152.25,147.9,150.83,25730974,0,True
NYKAA,2024-07-29T00:00:00,183.51,185.33,182.29,182.85,1441249,0,True
ABCAPITAL,2024-07-29T00:00:00,225.0,225.22,222.5,223.82,3957127,0,True
KALYANKJIL,2024-07-29T00:00:00,571.95,582.0,555.35,572.65,2281355,0,True
AWL,2024-07-29T00:00:00,328.0,349.7,327.1,344.6,14356770,0,True
PETRONET,2024-07-29T00:00:00,370.95,374.4,367.65,370.85,4386843,0,True
L&TFH,2024-04-22T00:00:00,161.65,164.95,160.7,163.75,3010283,0,True
MRPL,2024-07-29T00:00:00,216.01,221.65,214.0,220.17,4877109,0,True
HUDCO,2024-07-29T00:00:00,316.05,319.65,311.35,317.1,15123187,0,True
NIACL,2024-07-29T00:00:00,291.0,295.0,276.5,280.28,7017043,0,True
FEDERALBNK,2024-07-29T00:00:00,199.21,202.19,198.14,201.01,21488147,0,True
IREDA,2024-07-29T00:00:00,261.0,268.35,257.01,266.01,28683160,0,True
POONAWALLA,2024-07-29T00:00:00,380.0,384.85,377.55,381.05,2199811,0,True
M&MFIN,2024-07-29T00:00:00,295.0,304.8,295.0,303.15,2530835,0,True
UPL,2024-07-29T00:00:00,548.05,566.5,545.5,553.15,4404641,0,True
DELHIVERY,2024-07-29T00:00:00,401.0,415.9,400.0,412.4,5657360,0,True
FORTIS,2024-07-29T00:00:00,513.35,517.15,495.35,496.6,762874,0,True
BIOCON,2024-07-29T00:00:00,370.8,370.8,359.8,361.85,4052190,0,True
NLCINDIA,2024-07-29T00:00:00,289.95,293.57,284.5,286.0,3540132,0,True
IGL,2024-07-29T00:00:00,545.0,555.0,541.3,544.15,1798902,0,True
APOLLOTYRE,2024-07-29T00:00:00,557.0,564.6,546.0,551.75,2850913,0,True
JUBLFOOD,2024-07-29T00:00:00,583.1,597.8,577.35,590.85,3982298,0,True
BANDHANBNK,2024-07-29T00:00:00,203.0,220.0,200.11,218.87,133627172,0,True
EIHOTEL,2024-07-29T00:00:00,425.4,438.8,420.55,435.55,1102146,0,True
NATIONALUM,2024-07-29T00:00:00,190.95,193.6,189.21,191.68,8776782,0,True
HINDCOPPER,2024-07-29T00:00:00,318.3,321.0,314.75,315.8,3145736,0,True
EXIDEIND,2024-07-29T00:00:00,557.0,560.0,549.4,551.9,3570024,0,True
PAYTM,2024-07-29T00:00:00,512.75,518.3,490.0,494.05,8506569,0,True
ITI,2024-07-29T00:00:00,310.0,313.8,305.55,308.1,1099503,0,True
KIOCL,2024-07-29T00:00:00,460.35,463.7,456.05,461.5,118871,0,True
NBCC,2024-07-29T00:00:00,175.5,188.8,173.83,187.6,51650690,0,True
KANSAINER,2024-07-29T00:00:00,277.0,284.15,276.5,281.7,1924351,0,True
LAURUSLABS,2024-07-29T00:00:00,450.0,454.85,445.1,451.0,1693940,0,True
IRCON,2024-07-29T00:00:00,277.4,302.4,277.2,299.1,31430780,0,True
ASTERDM,2024-07-29T00:00:00,332.15,344.7,332.15,342.0,1872414,0,True
GSPL,2024-07-29T00:00:00,332.35,343.6,332.35,335.4,1185876,0,True
ABFRL,2024-07-29T00:00:00,333.0,343.0,329.3,340.05,6591242,0,True
CASTROLIND,2024-07-29T00:00:00,268.25,272.0,265.41,268.3,8663689,0,True
DEVYANI,2024-07-29T00:00:00,178.0,180.3,175.32,179.98,3374662,0,True
IDFC,2024-07-29T00:00:00,110.5,113.2,110.5,111.73,9465694,0,True
CIEINDIA,2024-07-29T00:00:00,597.5,597.5,575.85,581.0,460913,0,True
SUMICHEM,2024-07-29T00:00:00,534.15,540.45,518.05,533.75,2895425,0,True
CROMPTON,2024-07-29T00:00:00,444.9,448.5,427.1,432.2,9118472,0,True
PPLPHARMA,2024-07-29T00:00:00,168.0,171.0,164.15,170.28,7186024,0,True
INOXWIND,2024-07-29T00:00:00,175.31,180.96,171.55,173.61,17002539,0,True
CGCL,2024-07-29T00:00:00,210.94,212.55,209.41,210.0,157328,0,True
REDINGTON,2024-07-29T00:00:00,214.5,219.49,211.85,212.8,1306121,0,True
JYOTHYLAB,2024-07-29T00:00:00,555.0,561.3,532.0,537.45,1248928,0,True
CESC,2024-07-29T00:00:00,167.99,170.64,166.33,166.95,3940441,0,True
APTUS,2024-07-29T00:00:00,320.45,323.5,317.25,318.9,375511,0,True
FINPIPE,2024-07-29T00:00:00,328.0,334.35,322.5,328.4,3712425,0,True
J&KBANK,2024-07-29T00:00:00,111.01,116.5,111.01,112.69,14691986,0,True
KARURVYSYA,2024-07-29T00:00:00,224.8,229.81,223.5,228.5,4772513,0,True
MANAPPURAM,2024-07-29T00:00:00,212.09,216.3,211.1,213.22,6548122,0,True
NCC,2024-07-29T00:00:00,337.65,346.5,335.0,340.95,5353404,0,True
RBLBANK,2024-07-29T00:00:00,238.4,241.65,234.2,235.3,13822617,0,True
VGUARD,2024-07-29T00:00:00,464.9,471.0,452.0,459.85,324004,0,True
FSL,2024-07-29T00:00:00,258.6,269.25,257.2,267.19,5842301,0,True
CHAMBLFERT,2024-07-29T00:00:00,498.0,509.5,496.9,504.35,2588139,0,True
WELSPUNLIV,2024-07-29T00:00:00,185.95,190.0,184.13,189.42,6897346,0,True
HSCL,2024-07-29T00:00:00,428.0,429.8,415.6,417.75,1053552,0,True
ZEEL,2024-07-29T00:00:00,143.7,147.94,143.2,144.01,19007931,0,True
HFCL,2024-07-29T00:00:00,123.81,131.0,123.5,129.82,67512941,0,True
HONASA,2024-07-29T00:00:00,475.0,480.95,457.9,462.25,289057,0,True
IIFL,2024-07-29T00:00:00,456.0,462.4,443.2,445.35,1079688,0,True
BLS,2024-07-29T00:00:00,352.3,365.55,352.0,359.05,3346770,0,True
VTL,2024-07-29T00:00:00,564.7,579.35,558.55,568.45,306161,0,True
IEX,2024-07-29T00:00:00,178.5,190.39,178.05,187.04,40759273,0,True
SPARC,2024-07-29T00:00:00,226.9,228.49,225.0,226.98,367622,0,True
GRAPHITE,2024-07-29T00:00:00,525.0,532.5,518.1,520.65,464037,0,True
RAILTEL,2024-07-29T00:00:00,489.5,516.0,488.35,509.7,13323161,0,True
JUNIPER,2024-07-29T00:00:00,428.3,439.95,427.4,433.8,194212,0,True
ENGINERSIN,2024-07-29T00:00:00,257.0,265.0,255.7,263.45,6335913,0,True
JKTYRE,2024-07-29T00:00:00,447.5,457.0,440.2,442.05,1187168,0,True
PNCINFRA,2024-07-29T00:00:00,516.7,529.0,512.1,514.65,508734,0,True
GMDCLTD,2024-07-29T00:00:00,402.2,403.8,395.05,396.15,1619884,0,True
NUVOCO,2024-07-29T00:00:00,352.7,361.0,348.75,355.3,1731430,0,True
RELINFRA,2024-07-29T00:00:00,192.99,200.7,191.74,199.37,7740488,0,True
ANANTRAJ,2024-07-29T00:00:00,561.4,565.0,540.7,557.8,3894743,0,True
ELECTCAST,2024-07-29T00:00:00,212.99,214.5,206.76,210.07,2466501,0,True
DBREALTY,2024-07-29T00:00:00,213.0,217.8,208.35,211.98,8742286,0,True
LATENTVIEW,2024-07-29T00:00:00,542.85,542.85,519.0,521.15,887440,0,True
GRANULES,2024-07-29T00:00:00,563.1,571.95,560.35,564.85,1065244,0,True
LEMONTREE,2024-07-29T00:00:00,147.0,148.79,145.55,145.99,1657050,0,True
GPPL,2024-07-29T00:00:00,222.1,238.8,220.4,232.73,10230681,0,True
PCBL,2024-07-29T00:00:00,292.0,302.45,288.55,299.7,4797892,0,True
CUB,2024-07-29T00:00:00,162.99,174.8,162.09,169.22,16592612,0,True
MINDACORP,2024-07-29T00:00:00,487.5,496.9,481.6,482.95,278303,0,True
MMTC,2024-07-29T00:00:00,107.9,109.4,104.0,105.03,30063860,0,True
SCI,2024-07-29T00:00:00,280.95,292.9,276.85,281.7,13470209,0,True
USHAMART,2024-07-29T00:00:00,375.45,379.9,365.65,370.95,1168328,0,True
STARCEMENT,2024-07-29T00:00:00,213.1,214.0,210.7,213.04,530141,0,True
PRSMJOHNSN,2024-07-29T00:00:00,161.8,164.03,159.98,160.45,417085,0,True
IBULHSGFIN,2024-07-25T00:00:00,165.0,168.74,164.01,164.4,4972365,0,True
SYRMA,2024-07-29T00:00:00,484.0,489.5,479.2,481.0,562576,0,True
MHRIL,2024-07-29T00:00:00,475.0,487.4,461.0,463.1,552462,0,True
KTKBANK,2024-07-29T00:00:00,228.71,245.0,228.71,243.22,10734306,0,True
THOMASCOOK,2024-07-29T00:00:00,254.0,258.09,254.0,255.51,409839,0,True
GSFC,2024-07-29T00:00:00,238.0,241.85,237.1,237.98,2191537,0,True
RAJESHEXPO,2024-07-29T00:00:00,315.0,322.6,314.0,315.35,498638,0,True
TMB,2024-07-29T00:00:00,464.3,467.95,457.05,457.95,225639,0,True
MANINFRA,2024-07-29T00:00:00,215.08,218.8,207.34,209.42,2218569,0,True
VIPIND,2024-07-29T00:00:00,472.0,473.4,466.9,467.9,237287,0,True
RESPONIND,2024-07-29T00:00:00,292.0,295.45,290.35,292.7,120128,0,True
MIDHANI,2024-07-29T00:00:00,499.75,501.8,490.3,494.9,714570,0,True
EMIL,2024-07-29T00:00:00,228.0,229.4,223.0,224.68,555636,0,True
GAEL,2024-07-29T00:00:00,142.99,142.99,138.84,139.76,1033228,0,True
BALRAMCHIN,2024-07-29T00:00:00,465.1,474.8,463.0,470.2,2880173,0,True
SARDAEN,2024-07-29T00:00:00,278.7,280.0,274.01,278.74,318310,0,True
JMFINANCIL,2024-07-29T00:00:00,103.36,104.3,101.6,102.45,3321925,0,True
CHEMPLASTS,2024-07-29T00:00:00,532.7,545.8,528.2,534.3,162670,0,True
ARVIND,2024-07-29T00:00:00,392.0,402.0,371.3,374.3,2699039,0,True
RCF,2024-07-29T00:00:00,215.0,218.9,212.86,215.45,6329003,0,True
ICIL,2024-07-29T00:00:00,411.0,419.9,406.4,418.15,500272,0,True
KNRCON,2024-07-29T00:00:00,370.0,392.5,368.6,389.1,5804611,0,True
FDC,2024-07-29T00:00:00,515.0,547.2,508.4,529.2,1920681,0,True
RELIGARE,2024-07-29T00:00:00,259.0,262.55,253.92,258.06,1408832,0,True
MARKSANS,2024-07-29T00:00:00,203.0,206.51,200.0,201.85,1759348,0,True
NIITMTS,2024-07-29T00:00:00,489.7,496.9,484.6,488.35,104718,0,True
TRIVENI,2024-07-29T00:00:00,414.95,422.9,410.5,412.25,949810,0,True
TVSSCS,2024-07-29T00:00:00,192.4,197.35,190.5,194.82,2855165,0,True
SAREGAMA,2024-07-29T00:00:00,546.7,562.25,543.35,552.95,480627,0,True
DBL,2024-07-29T00:00:00,522.9,524.15,512.05,514.1,289382,0,True
BLUEJET,2024-07-29T00:00:00,445.75,453.7,441.5,444.55,246833,0,True
INDIACEM,2024-07-29T00:00:00,379.5,385.0,370.55,372.85,30958196,0,True
CAMPUS,2024-07-29T00:00:00,313.7,315.7,306.95,309.7,1481430,0,True
LTFOODS,2024-07-29T00:00:00,289.1,291.5,284.3,286.05,518170,0,True
BORORENEW,2024-07-29T00:00:00,543.0,553.55,535.05,536.55,901079,0,True
LXCHEM,2024-07-29T00:00:00,265.0,265.05,257.0,257.45,2848664,0,True
GREENLAM,2024-07-29T00:00:00,568.2,568.5,558.0,561.8,12630,0,True
CMSINFO,2024-07-29T00:00:00,564.0,591.6,559.8,587.25,1322962,0,True
KRBL,2024-07-29T00:00:00,309.1,313.95,306.6,312.05,922136,0,True
TEXRAIL,2024-07-29T00:00:00,277.9,283.99,270.3,281.71,7551894,0,True
IBREALEST,2024-07-05T00:00:00,149.19,153.0,148.6,150.35,9290772,0,True
JINDWORLD,2024-07-29T00:00:00,380.0,383.65,374.95,378.35,363153,0,True
PDSL,2024-07-29T00:00:00,554.35,587.15,554.35,571.55,212754,0,True
CSBBANK,2024-07-29T00:00:00,360.8,368.15,338.75,344.55,1423701,0,True
SHAREINDIA,2024-07-29T00:00:00,308.9,309.9,302.8,305.15,616754,0,True
VAIBHAVGBL,2024-07-29T00:00:00,333.05,338.55,328.05,331.5,422168,0,True
ARVINDFASN,2024-07-29T00:00:00,495.7,510.0,485.3,490.1,592545,0,True
GENUSPOWER,2024-07-29T00:00:00,383.85,383.85,368.55,371.8,2607198,0,True
TIPSINDLTD,2024-07-29T00:00:00,618.9,624.95,596.65,599.6,713041,0,True
SIS,2024-07-29T00:00:00,423.9,425.75,418.25,421.25,119103,0,True
SANDUMA,2024-07-29T00:00:00,580.0,583.8,562.6,565.3,145108,0,True
UJJIVAN,2024-05-02T00:00:00,580.0,592.9,573.0,589.5,2975180,0,True
ITDCEM,2024-07-29T00:00:00,510.1,523.65,502.0,509.9,932145,0,True
EPL,2024-07-29T00:00:00,223.1,226.7,222.55,224.41,672846,0,True
SUPRAJIT,2024-07-29T00:00:00,549.85,565.95,539.8,541.5,191123,0,True
SUNTECK,2024-07-29T00:00:00,595.8,612.4,592.75,598.1,554679,0,True
HEMIPROP,2024-07-29T00:00:00,221.8,224.55,218.41,219.43,793504,0,True
MOIL,2024-07-29T00:00:00,498.1,500.7,491.25,494.0,840999,0,True
TIMETECHNO,2024-07-29T00:00:00,339.9,342.8,336.05,337.95,1031717,0,True
ASKAUTOLTD,2024-07-29T00:00:00,400.1,433.8,397.15,416.95,1223447,0,True
SURYAROSNI,2024-07-29T00:00:00,610.0,617.0,597.0,598.8,191527,0,True
PTC,2024-07-29T00:00:00,226.0,227.0,222.5,223.9,902462,0,True
JKPAPER,2024-07-29T00:00:00,524.2,531.0,512.35,516.95,658122,0,True
CHOICEIN,2024-07-29T00:00:00,400.5,400.55,390.0,391.45,635758,0,True
HNDFDS,2024-07-29T00:00:00,591.35,603.9,588.65,595.05,73796,0,True
KESORAMIND,2024-07-29T00:00:00,218.0,222.14,216.0,216.79,952230,0,True
JAMNAAUTO,2024-07-29T00:00:00,138.54,140.5,136.58,137.78,6811351,0,True
RSYSTEMS,2024-07-29T00:00:00,484.35,492.0,475.05,484.35,88053,0,True
RAIN,2024-07-29T00:00:00,165.99,170.45,165.61,166.78,2052801,0,True
JAICORPLTD,2024-07-29T00:00:00,376.5,381.95,372.6,375.8,666145,0,True
RBA,2024-07-29T00:00:00,109.0,111.5,108.96,110.07,3000821,0,True
GATEWAY,2024-07-29T00:00:00,112.5,115.49,111.6,111.92,2050717,0,True
