tkr,td,op,hp,lp,cp,vol,oi,eod
WALCHANNAG,2024-07-29T00:00:00,374.56,379.96,366.65,379.96,385633,0,True
UNIENTER,2024-07-29T00:00:00,163.07,166.25,163.07,164.21,6706,0,True
SEMAC,2024-07-29T00:00:00,579.95,587.95,571.0,585.0,1358,0,True
VISAKAIND,2024-07-29T00:00:00,110.0,114.95,110.0,111.45,570428,0,True
LIKHITHA,2024-07-29T00:00:00,436.3,443.0,430.0,431.9,123489,0,True
AMNPLST,2024-07-29T00:00:00,321.95,325.0,307.9,313.35,62685,0,True
GPTINFRA,2024-07-29T00:00:00,176.4,176.9,168.0,170.2,267285,0,True
NINSYS,2024-07-29T00:00:00,476.1,487.95,476.1,478.65,3153,0,True
INFOBEAN,2024-07-29T00:00:00,438.35,447.4,433.0,438.25,18453,0,True
CENTENKA,2024-07-29T00:00:00,579.9,593.4,578.05,582.8,31970,0,True
HPAL,2024-07-29T00:00:00,102.7,103.8,101.69,102.06,340093,0,True
FAZE3Q,2024-07-29T00:00:00,537.5,556.0,513.5,516.6,173938,0,True
MAXIND,2024-07-29T00:00:00,322.8,322.8,313.05,316.15,50126,0,True
VLSFINANCE,2024-07-29T00:00:00,311.0,318.25,304.2,308.45,104928,0,True
SPECIALITY,2024-07-29T00:00:00,169.6,172.99,169.0,170.43,31828,0,True
CHEMCON,2024-07-29T00:00:00,264.0,268.35,260.65,261.9,60650,0,True
PPL,2024-07-29T00:00:00,506.0,523.0,497.0,498.95,168892,0,True
NCLIND,2024-07-29T00:00:00,235.9,239.5,234.05,237.25,241163,0,True
HEXATRADEX,2024-07-29T00:00:00,201.99,203.3,199.0,203.3,35668,0,True
SCHAND,2024-07-29T00:00:00,233.4,234.05,230.07,232.76,67444,0,True
DYCL,2024-07-29T00:00:00,595.5,602.95,588.45,592.15,40795,0,True
BAJAJHCARE,2024-07-29T00:00:00,364.35,374.7,359.15,368.05,202946,0,True
RSWM,2024-07-29T00:00:00,248.0,261.0,248.0,252.15,541889,0,True
SAKAR,2024-07-29T00:00:00,330.65,335.15,326.95,331.6,15383,0,True
HMVL,2024-07-29T00:00:00,101.61,102.9,100.0,100.91,65039,0,True
INDOAMIN,2024-07-29T00:00:00,154.0,155.99,149.1,150.63,214563,0,True
RUSHIL,2024-07-29T00:00:00,371.95,373.45,349.1,351.15,390268,0,True
ADSL,2024-07-29T00:00:00,231.7,236.0,224.75,230.57,776546,0,True
DBOL,2024-07-29T00:00:00,136.8,139.25,135.99,137.03,144213,0,True
DHARMAJ,2024-07-29T00:00:00,336.0,346.95,325.6,341.55,322434,0,True
PANACEABIO,2024-07-29T00:00:00,138.66,140.99,136.5,140.01,190114,0,True
STCINDIA,2024-07-29T00:00:00,222.5,230.5,207.65,212.7,1652306,0,True
MAANALU,2024-07-29T00:00:00,140.0,142.5,139.62,140.38,90083,0,True
NRAIL,2024-07-29T00:00:00,462.9,475.45,460.05,462.85,9461,0,True
JAGSNPHARM,2024-07-29T00:00:00,394.95,404.85,394.9,396.45,49220,0,True
GHCLTEXTIL,2024-07-29T00:00:00,107.48,109.4,103.42,104.31,2405378,0,True
KOTHARIPET,2024-07-29T00:00:00,179.0,181.55,174.4,176.47,294023,0,True
CONSOFINVT,2024-07-29T00:00:00,194.82,198.94,194.5,195.96,12098,0,True
ZUARI,2024-07-29T00:00:00,208.41,214.15,208.0,208.42,245006,0,True
